iteration,strategy,constraint,selected_threshold,in_bag_sensitivity,in_bag_specificity,in_bag_mcc,n_oob,events_oob,oob_threshold,oob_tp,oob_fp,oob_tn,oob_fn,oob_sensitivity_rule_out,oob_specificity_rule_in,oob_positive_predictive_value,oob_negative_predictive_value,oob_balanced_accuracy,oob_f1_score,oob_mcc
309,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.08423767341763522,0.9166666666666666,0.4968553459119497,0.3250141712319234,76,11,0.08423767341763522,11,33,32,0,1.0,0.49230769230769234,0.25,1.0,0.7461538461538462,0.4,0.35082320772281167
309,Rule-in,in-bag specificity >=90%; maximize MCC,0.4226095068171454,0.3055555555555556,0.9811320754716981,0.4308791340312701,76,11,0.4226095068171454,2,2,63,9,0.18181818181818182,0.9692307692307692,0.5,0.875,0.5755244755244755,0.26666666666666666,0.23799864840657528
310,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.10294826161786674,0.9444444444444444,0.5220125786163522,0.36496871913023504,68,12,0.10294826161786674,11,24,32,1,0.9166666666666666,0.5714285714285714,0.3142857142857143,0.9696969696969697,0.7440476190476191,0.46808510638297873,0.37230443961018367
310,Rule-in,in-bag specificity >=90%; maximize MCC,0.3289569281992214,0.5833333333333334,0.9056603773584906,0.4889937106918239,68,12,0.3289569281992214,5,6,50,7,0.4166666666666667,0.8928571428571429,0.45454545454545453,0.8771929824561403,0.6547619047619048,0.43478260869565216,0.3204386755468321
311,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.1440071380372559,0.9166666666666666,0.559748427672956,0.3702736433286524,66,9,0.1440071380372559,7,22,35,2,0.7777777777777778,0.6140350877192983,0.2413793103448276,0.9459459459459459,0.695906432748538,0.3684210526315789,0.27091778355667634
311,Rule-in,in-bag specificity >=90%; maximize MCC,0.400376357519583,0.3888888888888889,0.9811320754716981,0.5089108162940585,66,9,0.400376357519583,1,4,53,8,0.1111111111111111,0.9298245614035088,0.2,0.8688524590163934,0.52046783625731,0.14285714285714285,0.0530897514980186
312,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.11504279535234556,0.9444444444444444,0.5849056603773585,0.410895148311978,71,13,0.11504279535234556,11,26,32,2,0.8461538461538461,0.5517241379310345,0.2972972972972973,0.9411764705882353,0.6989389920424403,0.44,0.3080315925735889
312,Rule-in,in-bag specificity >=90%; maximize MCC,0.38656441184110346,0.5555555555555556,0.9559748427672956,0.5746252912746032,71,13,0.38656441184110346,5,6,52,8,0.38461538461538464,0.896551724137931,0.45454545454545453,0.8666666666666667,0.6405835543766578,0.4166666666666667,0.3005233492055679
313,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.11076392225579812,0.9166666666666666,0.5534591194968553,0.365617116681894,73,12,0.11076392225579812,10,28,33,2,0.8333333333333334,0.5409836065573771,0.2631578947368421,0.9428571428571428,0.6871584699453552,0.4,0.27769572997014214
313,Rule-in,in-bag specificity >=90%; maximize MCC,0.34185760359457534,0.5,0.9245283018867925,0.456513748691565,73,12,0.34185760359457534,4,2,59,8,0.3333333333333333,0.9672131147540983,0.6666666666666666,0.8805970149253731,0.6502732240437158,0.4444444444444444,0.40555906557459515
